"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
272302,"Business",-118.43,34,4422,18716,1486,1653,1547,1683,0,1551,1812,1404,1552,2979,5,3044,53
208720,"Business",-118.28,34.06,3609,38910,2249,2053,2015,2120,1918,2356,5932,4234,3748,3914,3983,4388,18
237100,"Residential",-118.29,33.99,6558,158541,2947,25291,3805,24580,2721,23378,2856,22535,2623,21432,2687,23686,850
119700,"Business",-118.42,34.23,4666,16045,1880,2193,1814,1725,1218,1276,751,524,592,1189,1238,1645,15
228410,"Residential",-118.27,34.01,5280,109428,18103,17838,2332,16919,2057,47,19065,38,16007,79,16937,6,477
123020,"Residential",-118.37,34.21,3317,104137,19175,926,20602,633,16970,597,15083,590,12331,562,16064,604,541
121220,"Residential",-118.39,34.23,4110,138081,26956,55,28568,62,24719,21,20603,25,16123,89,20824,36,758
131010,"Residential",-118.54,34.21,5999,197056,2500,33351,2507,31839,2297,27874,11362,24160,2444,25228,3145,30349,592
190902,"Business",-118.32,34.09,4621,18405,1493,1542,1892,1772,1635,1089,1131,2124,1249,1468,1269,1741,72
135202,"Residential",-118.64,34.19,4283,268002,54592,605,59270,460,544,48874,262,29419,20315,9854,27430,16377,1482
189400,"Residential",-118.32,34.12,2825,183624,545,34127,328,34633,686,31156,2674,24948,130,24846,174,29377,1113
113321,"Business",-118.59,34.25,5385,35146,3034,3604,3713,2830,3474,2961,2319,2156,2252,2797,3015,2991,91
297400,"Residential",-118.32,33.72,3615,240677,37209,21067,38171,7710,0,36368,34,27061,23171,15326,13987,20573,1170
228310,"Business",-118.26,34.01,4774,26081,1605,2233,2316,2523,2588,2995,2211,2318,1794,1789,2038,1671,73
269000,"Residential",-118.4,34.04,4785,332128,2435,64504,2174,62045,2291,58048,1869,40236,1590,40567,1851,54518,1257
235202,"Business",-118.33,33.97,4730,37980,2637,3119,2814,3149,996,3617,3355,3037,3426,4743,1198,5889,103
141302,"Residential",-118.46,34.15,5325,275115,45481,5295,47824,4928,45522,4761,36653,4169,32132,4431,39427,4492,837
123204,"Business",-118.39,34.19,3479,8798,759,844,728,824,686,769,735,723,723,652,586,769,19
234300,"Business",-118.33,34.01,4262,22992,2122,1952,1887,1889,1954,1810,2085,1921,1794,1623,1918,2037,130
115402,"Business",-118.54,34.22,6010,71539,6090,6096,6262,6038,6941,8036,3696,2123,9718,5179,5418,5942,371
117303,"Residential",-118.49,34.23,3153,195199,588,43569,521,37320,523,392,32125,220,19407,23984,139,36411,1025
137401,"Residential",-118.61,34.16,4299,323686,1122,81433,1800,65632,1274,52054,627,33103,727,34884,605,50425,1543
226410,"Residential",-118.26,34.02,3990,82949,3235,14894,94,13016,0,16,14167,6,15056,9010,3204,10251,264
221810,"Residential",-118.29,34.03,3071,78779,526,12799,414,14166,37,13360,40,304,13037,11538,360,12198,208
209510,"Business",-118.28,34.05,2681,15758,950,1374,1235,1501,1339,1588,1314,1180,1446,1295,1181,1355,32
