"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
115401,"Business",-118.51,34.22,5489,6935,584,711,708,554,0,783,469,507,567,895,99,1058,23
117100,"Business",-118.46,34.24,6242,31635,4920,2791,2635,2857,1051,2642,2566,2291,2360,2501,2236,2785,64
117200,"Residential",-118.47,34.24,5982,281794,53008,42962,15147,39197,12050,3552,42943,2469,29805,2012,34016,4633,1011
119100,"Residential",-118.44,34.25,4911,165180,16123,16249,17035,15428,15058,13824,13834,11033,10292,10774,12263,13267,905
119200,"Residential",-118.44,34.25,4039,145590,13802,15482,14109,14848,12022,12128,9634,11141,9053,9955,10909,12507,614
119320,"Residential",-118.45,34.24,3812,122420,22209,22625,1458,21390,37,1393,18904,1062,14394,1211,16428,1309,260
119340,"Business",-118.45,34.23,6864,22196,1654,1821,2067,1896,1919,2049,1703,1810,1780,2010,1677,1810,28
119400,"Business",-118.44,34.24,6726,15127,1709,2035,2205,1787,1280,1091,707,451,417,989,1061,1395,33
119400,"Residential",-118.44,34.24,6726,258385,51523,440,54862,531,44412,277,38147,312,30084,267,37354,176,1491
119800,"Residential",-118.43,34.23,5714,215375,41838,344,45781,230,38136,124,32450,158,24089,79,31971,175,1251
120010,"Business",-118.46,34.22,3384,2888,234,208,253,304,234,249,260,263,217,192,237,237,21
120010,"Residential",-118.46,34.22,3384,103175,20712,588,18747,502,17617,524,16094,549,12882,379,14233,348,517
120020,"Business",-118.46,34.22,4257,18549,1980,1596,1864,1940,1605,1715,1649,1106,1193,1381,1173,1347,43
120030,"Business",-118.45,34.22,2852,12018,949,1071,1135,1108,891,755,1598,815,890,890,895,1021,57
120400,"Business",-118.43,34.22,5575,97207,7538,9736,9953,10431,8142,8238,6929,6176,6583,6813,6650,10018,67
120400,"Residential",-118.43,34.22,5575,210593,35966,4784,36219,5355,32806,4865,30428,3752,22079,4074,25966,4299,791
121010,"Business",-118.4,34.22,4535,26959,2107,2770,2542,2713,2199,2006,2578,2007,1359,2533,1963,2182,35
121010,"Residential",-118.4,34.22,4535,193168,38200,1031,40559,942,34309,633,26673,653,20542,751,28273,602,1043
121020,"Residential",-118.4,34.21,3795,140312,27329,34,28104,167,25466,55,20537,56,17470,48,21035,11,684
121220,"Business",-118.39,34.23,4110,13660,1349,1371,1288,1209,1186,1072,1009,1020,967,1042,1085,1062,97
122110,"Business",-118.37,34.22,5421,46339,3962,3486,4695,3927,3995,4028,3588,3659,3316,3985,3373,4325,165
122200,"Business",-118.36,34.22,5607,71263,6141,7151,6813,6897,5999,6416,5041,4865,4761,5205,5786,6188,217
122410,"Residential",-118.39,34.21,4041,99139,15902,2921,16094,2510,15178,2534,12590,1709,12038,2421,13233,2009,165
122420,"Business",-118.38,34.2,5000,29241,2732,2629,2705,2802,2535,2603,2122,1903,1817,2347,2248,2798,61
123020,"Business",-118.37,34.21,3317,2214,147,239,286,238,266,254,126,122,109,117,149,161,19
123103,"Business",-118.37,34.19,4223,17799,1493,1638,1646,1759,1760,1467,1473,1221,1028,1217,1457,1640,72
123203,"Business",-118.39,34.2,4071,18477,1264,1848,2066,2226,1829,1562,968,2170,1036,1282,1012,1214,95
123205,"Business",-118.38,34.19,2700,30288,2414,2476,2711,2859,2890,2410,2309,2408,2611,2404,2023,2773,117
123205,"Residential",-118.38,34.19,2700,69221,22,13231,31,13046,49,12052,17,10286,16,9549,9,10913,263
123206,"Business",-118.38,34.19,3017,101228,7981,9799,9826,9008,9305,8413,6552,7660,7110,7978,8539,9057,72
123301,"Government",-118.4,34.2,4800,32515,4395,4849,4229,3740,2661,1747,1288,636,1437,1903,2423,3207,21
123303,"Residential",-118.41,34.2,3317,113747,156,21903,112,21559,186,17682,111,16244,135,15949,115,19595,459
123410,"Residential",-118.42,34.2,4487,141592,1405,25452,1512,25044,1227,21285,1274,20026,1026,18416,1053,23872,408
123420,"Business",-118.42,34.2,4512,49398,1700,1534,12273,3887,3832,3880,3784,3454,3309,4169,3662,3914,25
123420,"Residential",-118.42,34.2,4512,145920,866,27772,701,26236,626,24868,602,19534,464,19006,498,24747,521
123601,"Business",-118.42,34.18,4988,17233,1531,1143,1606,1569,1492,1914,1113,1198,1287,1428,1309,1643,27
123601,"Government",-118.42,34.18,4988,69625,6207,8474,9926,6988,7842,3487,2790,3980,2712,3490,6399,7330,27
123700,"Residential",-118.41,34.18,4145,193634,667,36858,625,36549,403,31096,373,26544,389,25346,319,34465,951
123800,"Business",-118.4,34.18,5710,40657,3091,3357,3363,3181,3404,3111,5078,2851,2991,2805,3167,4258,115
123900,"Business",-118.39,34.18,6701,43309,5403,4806,3504,4199,4332,2924,3181,2458,2456,2658,4589,2799,99
123900,"Residential",-118.39,34.18,6701,292936,3139,54579,2789,52979,2380,46703,2428,38187,2082,37099,2184,48387,1234
124000,"Residential",-118.4,34.16,4376,289943,929,56414,564,58225,616,52445,526,34825,564,36842,654,47339,1148
124102,"Residential",-118.38,34.18,4101,135208,1383,24286,1363,24706,1141,22483,1173,18360,931,17270,1109,21003,587
124201,"Residential",-118.38,34.18,3610,145665,176,29609,326,27533,24,23768,6,18696,87,19937,65,25438,784
124700,"Business",-118.42,34.16,4636,35442,3220,3214,3148,3398,3193,2983,2930,2554,2921,2463,2507,2911,65
