"caseid","age","gender","fulltime_emp","phys_challenge","sleep","homework","socializing"
"20160504161969",28,"Female","Full time","No difficulty",660,0,358
"20160112151183",47,"Male","Full time","No difficulty",480,0,100
"20160303162222",59,"Male","No answer","No difficulty",575,0,568
"20161009162365",66,"Male","No answer","Has difficulty",630,0,720
"20160302161517",73,"Male","No answer","No difficulty",360,0,870
"20160302160713",46,"Male","Full time","No difficulty",550,0,450
"20161009161429",62,"Female","Full time","No difficulty",480,0,75
"20161009161472",45,"Male","Part time","No difficulty",330,0,360
"20160604161087",30,"Female","Full time","No difficulty",401,0,40
"20160403161912",29,"Female","Full time","No difficulty",540,0,120
"20160301161705",55,"Female","Full time","No difficulty",625,0,450
"20160907162368",61,"Female","Part time","No difficulty",520,0,120
"20161010161050",85,"Female","No answer","No difficulty",480,0,456
"20160201160545",43,"Female","No answer","No difficulty",475,0,120
"20160807161099",43,"Female","Full time","No difficulty",570,0,338
"20161211162228",38,"Female","Part time","No difficulty",285,0,230
"20160101162355",42,"Male","Full time","No difficulty",540,0,530
"20160112151257",25,"Male","Full time","No difficulty",450,0,165
"20160302162483",68,"Female","No answer","No difficulty",680,0,505
"20161210161817",54,"Female","Full time","No difficulty",700,0,357
"20160706160683",48,"Male","Full time","No difficulty",465,0,90
"20160504160586",43,"Male","Full time","No difficulty",570,0,60
"20160706161235",39,"Female","Part time","No difficulty",485,0,230
"20160605160637",32,"Male","Part time","No difficulty",540,0,0
"20160807161445",31,"Male","Full time","No difficulty",350,0,270
"20160403160752",31,"Female","No answer","No difficulty",650,0,420
"20161110161327",43,"Male","Full time","No difficulty",455,0,60
"20160303161974",54,"Male","No answer","No difficulty",698,0,570
"20160504161256",45,"Female","Part time","No difficulty",760,0,120
"20160505161392",73,"Male","Part time","No difficulty",638,0,225
"20160404161295",85,"Male","No answer","No difficulty",411,0,436
"20160403160931",30,"Female","No answer","No difficulty",330,0,84
"20160807160909",74,"Male","Part time","No difficulty",480,0,150
"20160403162127",80,"Male","No answer","No difficulty",537,0,857
"20160201160634",50,"Male","Full time","No difficulty",765,0,435
"20160403162199",74,"Female","Part time","No difficulty",490,0,100
"20160706160748",67,"Female","No answer","No difficulty",574,0,816
"20160908162252",60,"Male","No answer","Has difficulty",150,0,388
"20160403162234",29,"Female","No answer","No difficulty",715,0,170
"20160504162123",63,"Female","Part time","No difficulty",440,0,130
"20160504160699",15,"Male","No answer","No difficulty",660,90,430
"20160505161530",76,"Male","No answer","No difficulty",630,0,298
"20160403161210",52,"Male","Full time","No difficulty",285,0,220
"20161210161257",34,"Male","Full time","No difficulty",600,0,185
"20160705161184",42,"Male","No answer","No difficulty",555,0,330
"20160201161133",39,"Female","Full time","No difficulty",480,0,75
"20160212152438",85,"Female","No answer","Has difficulty",510,0,540
"20160201161529",52,"Male","Full time","No difficulty",405,0,150
"20160403161028",56,"Female","Full time","No difficulty",460,0,354
"20160808162125",68,"Female","No answer","No difficulty",570,0,60
"20160302161982",65,"Female","No answer","No difficulty",540,0,330
"20160505162262",33,"Female","Part time","No difficulty",495,0,235
"20160908161996",46,"Female","Full time","No difficulty",540,0,240
"20161008161194",80,"Male","No answer","Has difficulty",450,0,513
"20160504160617",67,"Female","No answer","Has difficulty",540,0,180
"20160101160066",69,"Male","No answer","Has difficulty",600,0,560
"20161010161182",77,"Female","No answer","Has difficulty",715,0,425
"20160908162071",28,"Female","No answer","No difficulty",540,0,150
"20161108160961",54,"Male","Part time","No difficulty",570,0,720
"20161010162113",36,"Male","Full time","No difficulty",450,0,130
"20160302160961",65,"Male","Full time","No difficulty",415,0,30
"20161010161583",40,"Male","Full time","No difficulty",465,0,30
"20161010161171",38,"Male","No answer","No difficulty",730,0,195
"20160706160770",27,"Male","Full time","No difficulty",515,0,90
"20160504162522",60,"Female","Full time","No difficulty",780,0,339
"20161211161262",56,"Female","Full time","No difficulty",570,0,115
"20160908161755",43,"Female","Part time","No difficulty",450,0,405
"20160403161261",37,"Male","Part time","No difficulty",510,0,250
"20160605161517",76,"Male","No answer","Has difficulty",295,0,728
"20160201160904",75,"Male","No answer","No difficulty",570,0,290
"20160706161414",39,"Male","Full time","No difficulty",640,0,640
"20160212151409",21,"Male","Part time","No difficulty",750,0,160
"20160908161601",62,"Male","Full time","Has difficulty",660,0,360
"20160504161571",33,"Male","Full time","No difficulty",840,0,240
"20161010162276",60,"Male","Full time","No difficulty",510,0,220
"20160605162528",30,"Female","Full time","No difficulty",600,0,180
"20160706161481",50,"Female","Part time","Has difficulty",600,0,709
"20160112150719",76,"Male","No answer","No difficulty",741,0,390
"20160807161351",31,"Female","No answer","No difficulty",480,105,185
"20161110161960",65,"Female","No answer","No difficulty",570,0,365
"20160301162508",75,"Female","Part time","No difficulty",450,0,675
"20160504160065",18,"Female","No answer","No difficulty",705,30,254
"20160605161338",41,"Female","No answer","No difficulty",570,0,163
"20161009161328",40,"Female","Full time","No difficulty",600,0,255
"20161110161209",49,"Female","Part time","No difficulty",600,0,190
"20160505161000",68,"Female","No answer","No difficulty",465,0,450
"20160404161164",45,"Female","Part time","No difficulty",655,0,110
"20160807162507",51,"Male","Full time","No difficulty",450,0,240
"20160706162274",55,"Female","Full time","No difficulty",331,0,382
"20160403160645",64,"Male","Full time","No difficulty",435,0,60
"20161211161114",25,"Female","Full time","No difficulty",505,0,157
"20161211160563",74,"Male","No answer","No difficulty",450,0,120
"20161110161568",74,"Female","Full time","Has difficulty",600,0,270
"20161110161157",52,"Male","Full time","No difficulty",450,0,610
"20160212151584",61,"Male","Part time","No difficulty",510,0,0
"20160504161468",38,"Female","No answer","No difficulty",510,0,80
"20160808160661",73,"Female","No answer","No difficulty",435,0,265
"20160706162035",40,"Female","Part time","No difficulty",660,0,528
"20160101160915",40,"Male","Full time","No difficulty",865,0,280
"20160101162303",61,"Male","No answer","Has difficulty",600,0,405
"20161210160827",59,"Male","Full time","No difficulty",480,0,138
"20160302160662",26,"Male","Full time","No difficulty",470,0,193
"20160504161963",55,"Female","Full time","No difficulty",568,0,65
"20160504161454",23,"Female","Full time","No difficulty",750,0,510
"20160303160089",22,"Male","No answer","No difficulty",575,0,183
"20160706161769",50,"Female","Full time","No difficulty",530,0,300
"20160403160998",85,"Female","No answer","Has difficulty",450,0,545
"20160808161715",59,"Male","Part time","No difficulty",494,0,165
"20160302162127",32,"Female","No answer","No difficulty",535,0,90
"20160302162231",26,"Male","Full time","No difficulty",420,0,0
"20161008161238",35,"Male","No answer","Has difficulty",600,0,549
"20160404160711",37,"Male","Full time","No difficulty",450,0,443
"20160605161043",24,"Male","Full time","No difficulty",540,0,250
"20160605160090",51,"Female","No answer","No difficulty",570,0,190
"20160503162497",54,"Male","Full time","No difficulty",968,0,0
"20161211160916",68,"Female","No answer","No difficulty",567,0,220
"20160212151364",43,"Female","Full time","No difficulty",585,0,60
"20161110161599",20,"Male","Part time","No difficulty",540,0,343
"20160606160011",19,"Female","No answer","No difficulty",950,0,30
"20160908161272",23,"Female","Full time","No difficulty",875,0,60
"20161110160660",45,"Male","Full time","No difficulty",480,0,355
"20160302161549",51,"Female","Full time","No difficulty",375,0,176
"20160706161725",30,"Male","Part time","No difficulty",880,0,250
"20160604160814",16,"Female","No answer","No difficulty",359,0,710
"20160112150980",46,"Female","Full time","No difficulty",540,0,75
"20160807161682",56,"Female","Full time","No difficulty",390,0,200
"20160808160735",57,"Male","Full time","No difficulty",690,0,358
"20160403162394",72,"Female","Full time","No difficulty",505,0,60
"20160605161855",42,"Male","Full time","No difficulty",460,0,222
"20160605162230",54,"Female","Full time","No difficulty",660,0,165
"20160908161007",60,"Male","Part time","No difficulty",300,0,325
"20160212151855",30,"Male","Full time","No difficulty",360,0,0
"20160807160598",85,"Female","No answer","No difficulty",525,0,545
"20160504162396",85,"Female","No answer","Has difficulty",505,0,685
