"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
1,2010,"USA","HI","Male",14,"Right-Handed",184,14,166,1,"Bus",45,0.32,87,"Basketball",900,900,1000,NA,1000,1000,14,"Same length",63,65,"Ring finger","October","Summer","No","No","Pizza/Pasta","Milk","Music",8,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,5,3,6,8,19,3,7,6,2,5,4,3,"Very little","Graduate degree","Rock and roll","Invisibility","Happy","Actor","Education/Youth development"
2,2013,"USA","SC","Female",16,"Left-Handed",165,22,165,1,"Car",10,0.82,30,"Other",600,600,600,600,500,550,22,"Same length",80,80,"Same length","February","Fall","No","No","No favorite","Water","English",7,9,4,"Yes - broadband connection","Text messaging",100,110,50,1,4,3,6,1,10,12,10,4,0,1,"Some","Graduate degree","Other","Invisibility","Happy","Community leader or elder","International aid"
3,2015,"USA","MI","Male",16,"Right-Handed",177,27,183,1,"Car",4,0.63,79,"Football (American)",0,0,0,0,0,1000,27,"Same length",NA,NA,NA,"March","Fall","Yes","No","Meat","Water","Physical education",8,10,5,"Yes - broadband connection","In person",250,275,35,0,0,2,20,0,4,3,5,2,0,0,"Some","Graduate degree","Rap/Hip hop","Invisibility","Rich","Sports person","Arts, culture, sports"
4,2015,"USA","CA","Male",17,"Right-Handed",172,24,150,2,"Skateboard/Scooter/Rollerblade",35,0.44,58,"Table Tennis",770,824,904,508,807,1000,25,"Left foot",110,110,"Same length","May","Spring","No","No","Pizza/Pasta","Water","Physical education",8,NA,2,"Yes - broadband connection","In person",30,30,7,1,2,13,19,7,2,1,75,0,0,30,"A lot","Graduate degree","Rap/Hip hop","Fly","Healthy","Relative","Environment"
5,2010,"USA","IN","Male",17,"Right-Handed",179,27,174,1,"Car",10,0.21,38,"Soccer",650,700,300,NA,500,500,27,"Same length",76,78,"Ring finger","July","Summer","No",NA,"Pizza/Pasta","Soft drink (caffeinated)","Social studies",7,10,4,"Yes - broadband connection","Text messaging",100,100,10,2,2,0,6,0,4,8,3,1,15,2,NA,"Graduate degree","Rap/Hip hop","Invisibility","Happy","Relative","Health"
6,2010,"USA","SC","Female",17,"Right-Handed",152,24.4,195,2,"Car",8,0.44,61,"Baseball/Softball",25,750,750,NA,1000,1000,24,"Same length",NA,NA,NA,"December","Fall","No","No","Pizza/Pasta","Juice","History",7,10,4,"Yes - broadband connection","Text messaging",6,14,12,3,6,3,5,0,5,5,12,6,0,6,"Some","Graduate degree","Punk rock","Fly","Healthy","Other","Health"
7,2012,"USA","PA","Female",17,"Right-Handed",157,19,153,1,"Car",7,0.38,67,"Gymnastics",1000,1000,1000,1000,500,500,19,"Same length",70,75,"Ring finger","March","Summer","No","Yes","Salads","Water","English",6,12,4,"Yes - other","In person",20,25,5,5,10,10,5,0,10,5,7,3,5,2,"Some","Graduate degree","Other","Telepathy","Happy","Coach or club leader","Arts, culture, sports"
8,2014,"USA","MD","Female",13,"Right-Handed",164,22,119,1,"Bus",15,0.41,10,"Swimming",1000,1000,1000,1000,0,0,19,"Right foot",75,65,"Index finger","February","Summer","No","No","Seafood","Soft drink (caffeinated)","Art",8,11,4,"Yes - other","Text messaging",13,15,8,2,1,6,2,4,0,5,0,5,0,1,"A lot","Some college","Country","Freeze time","Happy","Relative","Environment"
9,2015,"USA","VA","Female",17,"Right-Handed",168,25,168,1,"Car",15,0.42,29,"None",615,824,535,647,444,1000,10,"Right foot",90,93,"Ring finger","August","Fall","No","Yes","Pizza/Pasta","Juice","Art",10,12,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,45,0,1,2,0,0,25,25,25,0,8,1,"Some","Graduate degree","Punk rock","Fly","Rich","Musician or singer","Wildlife, animals"
10,2014,"USA","NC","Female",17,"Right-Handed",169,26,168,1,"Car",15,0.42,35,"Soccer",802,813,829,850,893,1000,26,"Same length",100,93,"Index finger","May","Fall","Yes","No","Pizza/Pasta","Water","Science",8,9,4,"Yes - broadband connection","Text messaging",70,80,40,3,2,15,1,0,14,70,10,20,0,0,"A lot","Graduate degree","Pop","Freeze time","Famous","Relative","Education/Youth development"
11,2011,"USA","ID","Male",17,"Right-Handed",184,28,188,1,"Car",15,0.25,43,"Other",460,513,668,NA,914,882,28,"Same length",90,105,"Ring finger","February","Summer","No","No","Meat","Sports drink","Physical education",7,8,5,"Yes - broadband connection","Text messaging",5,5,24,5,1,5,10,2,1,4,2,5,30,5,"Some","Graduate degree","Country","Fly","Rich","Sports person","Environment"
12,2013,"USA","WI","Male",12,"Left-Handed",156,23,149,1,"Bus",25,0.44,62,"Baseball/Softball",970,900,1000,700,750,600,23,"Same length",70,60,"Index finger","April","Summer","No","No","Fruit","Water","Mathematics and statistics",9,8,5,"Yes - broadband connection","In person",3,0,1,1,6,1,14,4,5,1,1,8,0,5,"A lot","Graduate degree","Pop","Invisibility","Healthy","Relative","Arts, culture, sports"
13,2015,"USA","TX","Male",17,"Right-Handed",175,26,198,2,"Car",5,0.38,34,"Other",900,900,1000,1000,0,0,26,"Same length",76,80,"Ring finger","September","Summer","No","No","Seafood","Water","Physical education",6,NA,6,"Yes - broadband connection","Internet chat or instant messaging",0,0,16,0,5,0,30,5,5,9,13,0,0,100,"A lot","Some college","Country","Freeze time","Rich","Teacher","Arts, culture, sports"
14,2014,"USA","SC","Male",15,"Right-Handed",185,28,178,1,"Car",15,0.39,57,"Other",874,921,867,939,950,961,28,"Same length",81,85,"Ring finger","May","Fall","Yes","No","Meat","Water","Mathematics and statistics",8,6,4,"Yes - broadband connection","Text messaging",100,100,10,2,5,8,10,1,2,2,2,10,0,2,"Some","Graduate degree","Country","Super strength","Rich","Relative","Religious"
15,2014,"USA","IN","Male",16,"Right-Handed",189,28,197,1,"Car",30,0.37,54,"Swimming",600,500,500,800,600,200,28,"Same length",87,87,"Same length","December","Winter","No","No","No favorite","Milk","Other",8,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,0,0,14,0,0,7,7,0,7,14,0,35,"A lot","Some college","Other","Telepathy","Happy","Other","Environment"
16,2013,"USA","FL","Female",17,"Right-Handed",183,21.5,159,1,"Car",45,0.43,5,"Lacrosse",700,750,999,999,500,600,22,"Left foot",79,80,"Ring finger","January","Summer","No","No","Meat","Water","Mathematics and statistics",6,9,2,"Yes - broadband connection","Cell phone",10,5,56,10,14,16,15,0,14,14,14,13,0,10,"A lot","Graduate degree","Country","Invisibility","Happy","Relative","Religious"
17,2010,"USA","PA","Female",17,"Right-Handed",162,23,151,2,"Car",60,0.36,31,"Other",845,925,647,NA,551,460,23,"Same length",85,84,"Index finger","November","Fall","Yes","Yes","Vegetables","Tea","Art",4,11,3,"Yes - broadband connection","In person",0,2,1,1,9,0,0,2,1,1,5,1,8,3,"A lot","Graduate degree","Other","Freeze time","Happy","Other","International aid"
18,2013,"USA","GA","Female",12,"Right-Handed",153,25,158,1,"Bus",15,0.5,12,"Other",1000,1000,1000,1000,100,100,25,"Same length",101,105,"Ring finger","May","Winter","Yes","Yes","Seafood","Water","Science",11,11,7,"Yes - other","Cell phone",0,0,2,2,5,60,1,2,1,1,1,4,0,12,NA,"Graduate degree","Country","Fly","Healthy","Relative","Wildlife, animals"
19,2013,"USA","GA","Female",17,"Right-Handed",163,23,165,1,"Car",20,0.42,55,"Walking/Hiking",820,850,680,720,860,980,24,"Left foot",91,92,"Ring finger","January","Fall","Yes","No","Fruit","Water","Science",8,10,4,"Yes - broadband connection","In person",8,5,3,2,30,15,0,12,0,5,5,10,0,6,"A lot","Graduate degree","Heavy metal","Telepathy","Happy","Doctor or nurse","Health"
20,2015,"USA","WI","Male",14,"Right-Handed",167,26,168,1,"Bus",15,0.39,48,"Basketball",500,750,800,800,200,900,26,"Same length",105,107.5,"Ring finger","February","Summer","Yes","No","Fruit","Powdered drink","Physical education",10,11,4,"Yes - other","Cell phone",2,1,5,1,0,2,10,0,1,1,0,20,2,1,"Some","Graduate degree","Rap/Hip hop","Fly","Healthy","Sports person","Environment"
21,2014,"USA","IN","Male",17,"Right-Handed",180,27,176,1,"Car",6,0.7,59,"Basketball",236,300,342,615,0,793,28,"Left foot",78,77,"Index finger","June","Summer","Yes","No","Meat","Soft drink (caffeinated)","Physical education",8,10,5,"Yes - broadband connection","Text messaging",117,127,17,2,1,15,10,4,0,48,3,7,0,3,"Very little","Graduate degree","Country","Super strength","Happy","Actor","Education/Youth development"
22,2015,"USA","CA","Female",10,"Right-Handed",155,23,157,2,"Car",15,0.31,34,"Swimming",631,674,684,497,0,143,23,"Same length",85,95,"Ring finger","April","Spring","No","No","No favorite","Water","Mathematics and statistics",8,10,4,"Yes - other","Text messaging",3,126,4,0,5,6,11,0,0,1,3,2,7,7,"Very little","Graduate degree","Pop","Freeze time","Happy","Business person","Health"
23,2013,"USA","FL","Male",15,"Right-Handed",162,25.4,175,1,"Car",21,0.5,55,"Athletics",1000,1000,1000,1000,1000,1000,16,"Right foot",87,88,"Ring finger","September","Summer","Yes","No","Soups","Water","Mathematics and statistics",5,7,4,"Yes - broadband connection","Text messaging",50,56,5,2,10,1,20,2,5,10,10,5,0,5,"None","Graduate degree","Pop","Fly","Happy","Sports person","Wildlife, animals"
24,2013,"USA","FL","Male",16,"Right-Handed",188,27,193,2,"Car",15,0.35,35,"Basketball",567,487,380,417,465,738,27,"Same length",80,85,"Ring finger","June","Fall","Yes","No","Breads/Sandwiches","Water","Science",7,9,4,"Yes - broadband connection","Text messaging",0,0,15,1,20,7,10,2,16,5,10,6,0,2,"A lot","Graduate degree","Rap/Hip hop","Fly","Happy","Relative","International aid"
25,2012,"USA","CA","Female",17,"Right-Handed",165,20.32,186,2,"Car",5,0.38,47,"Soccer",900,770,700,500,1000,900,19,"Right foot",70,70,"Same length","May","Fall","Yes","No","Seafood","Water","English",4,7,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,3,1,9,2,6,0,20,0,5,0,3,1,"A lot","Graduate degree","Other","Freeze time","Happy","Religious figure","International aid"
26,2011,"USA","DE","Male",16,"Right-Handed",180,28,179,1,"Car",7,0.3,45,"Lacrosse",250,600,1000,NA,500,700,28,"Same length",90,100,"Ring finger","March","Winter","Yes","No","Meat","Soft drink (non-caffeinated)","Science",8,10,3,"Yes - other","In person",15,16,10,0,5,10,10,1,1,1,1,10,0,1,"Very little","Graduate degree","Other","Invisibility","Happy","Relative","Education/Youth development"
27,2015,"USA","WY","Female",12,"Right-Handed",147,22,142,1,"Bus",10,0.46,33,"Swimming",1000,1000,1000,1000,500,1000,22,"Same length",70,60,"Index finger","August","Summer","No","No","Meat","Soft drink (caffeinated)","Art",10,10,4,"No internet connection","In person",0,0,49,3,5,16,8,2,0,0,1,6,5,5,"Very little","Graduate degree","Pop","Invisibility","Healthy","Relative","Environment"
28,2012,"USA","WA","Female",16,"Right-Handed",167,17.78,172,3,"Bus",25,0.32,50,"Walking/Hiking",1000,1000,1000,1000,1000,1000,18,"Same length",NA,NA,NA,"December","Summer","Yes","No","Pizza/Pasta","Milk","Mathematics and statistics",6,NA,2,"Yes - other","Text messaging",5,20,15,0,2,7,0,50,50,50,75,0,0,3,"A lot","Graduate degree","Gospel","Telepathy","Rich","Musician or singer","Education/Youth development"
29,2014,"USA","OH","Male",17,"Right-Handed",169,12.5,178,2,"Car",15,0.39,36,"Soccer",900,900,1000,1000,900,900,13,"Same length",80,90,"Ring finger","June","Fall","No","No","Poultry","Water","Science",7,9,6,"Yes - broadband connection","Text messaging",6,6,5,2,15,7,4,3,3,3,10,5,8,5,"A lot","Graduate degree","Rap/Hip hop","Telepathy","Happy","Relative","International aid"
30,2015,"USA","OH","Male",15,"Left-Handed",148,26,170,1,"Car",20,0.36,40,"Swimming",0,700,400,50,300,500,27,"Left foot",70,78,"Ring finger","April","Summer","No","No","Breads/Sandwiches","Tea",NA,9,9,4,"Yes - broadband connection","Text messaging",20,20,4,1,5,10,8,4,2,5,1,7,3,2,"A lot","Undergraduate degree","Other","Fly","Healthy","Coach or club leader","Environment"
31,2014,"USA","GU","Female",14,"Right-Handed",147,20,147,1,"Car",15,0.36,43,"Dancing",1000,508,487,786,898,898,21,"Left foot",80,83,"Ring finger","July","Spring","No","No","Desserts","Juice","Music",5,7,5,"Yes - broadband connection","Internet chat or instant messaging",16,33,25,2,3,13,23,16,14,30,60,5,0,14,"Very little","Graduate degree","Pop","Telepathy","Happy","Religious figure","Education/Youth development"
32,2012,"USA","TX","Male",17,"Right-Handed",200,30,200,2,"Walk",15,0.72,39,"Tennis",500,500,500,500,1000,1000,30,"Same length",NA,NA,NA,"February","Summer","No","No","Poultry","Water","Mathematics and statistics",8,8,6,"Yes - broadband connection","Text messaging",0,0,5,5,15,5,0,5,2,2,5,0,8,5,"Some","Other","Pop","Telepathy","Rich","Relative","Education/Youth development"
33,2013,"USA","OH","Female",10,"Right-Handed",137,20,127,1,"Bus",25,0.8,55,"Baseball/Softball",300,200,500,400,100,50,20,"Same length",80,80,"Same length","April","Summer","Yes","No","Meat","Soft drink (caffeinated)","Science",10,7,4,"Yes - broadband connection","In person",0,1,2,10,15,5,3,40,1,8,15,1,30,20,"Some","Some college","Pop","Fly","Happy","Musician or singer","International aid"
34,2013,"USA","SC","Female",15,"Right-Handed",150,22,153,1,"Car",15,0.82,44,"Rowing",950,900,800,900,950,1000,22,"Same length",70,70,"Same length","May","Fall","No","No","Pizza/Pasta","Soft drink (caffeinated)","English",5,10,6,"Yes - broadband connection","In person",100,100,10,1,10,28,3,0,30,40,30,3,0,4,"A lot","Graduate degree","Techno/Electronic","Fly","Happy","Religious figure","International aid"
35,2013,"USA","FL","Female",17,"Right-Handed",158,25,140,1,"Car",25,0.34,8,"Other",800,850,1000,950,695,750,25,"Same length",NA,NA,NA,"September","Summer","No","No","Poultry","Water","English",7,12,4,"Yes - broadband connection","Text messaging",85,85,25,1,5,15,6,2,10,30,6,5,0,5,"Some","Graduate degree","Rap/Hip hop","Invisibility","Happy","Relative","Health"
36,2013,"USA","WI","Female",11,"Right-Handed",143,22,146,1,"Bus",25,0.5,47,"Gymnastics",150,725,310,165,285,635,22,"Same length",60,70,"Ring finger","September","Spring","No","No","Vegetables","Juice","Mathematics and statistics",8,9,7,"Yes - broadband connection","Other",0,0,5,1,3,7,18,0,0,1,5,4,1,1,"Very little","Graduate degree","Pop","Invisibility","Healthy","Doctor or nurse","Health"
37,2014,"USA","IN","Female",17,"Left-Handed",183,23,185,1,"Car",6,0.86,42,"Athletics",600,969,900,700,900,900,26,"Left foot",90,80,"Index finger","July","Spring","Yes","No","Seafood","Water","Physical education",5,9,6,"Yes - broadband connection","Cell phone",80,200,13,4,12,5,14,1,28,20,3,10,20,10,"Some","Graduate degree","Pop","Super strength","Happy","Coach or club leader","Health"
38,2015,"USA","CA","Male",11,"Ambidextrous",150,15,130,2,"Car",15,0.5,58,"Swimming",500,250,1000,800,1000,1000,25,"Left foot",60,70,"Ring finger","July","Summer","Yes","No","Meat","Soft drink (non-caffeinated)","Science",8,6,5,"Yes - broadband connection","Internet chat or instant messaging",1,2,5,2,4,4,1,6,0,3,1,1,0,4,"Some","Graduate degree","Rap/Hip hop","Telepathy","Happy","Teacher","Environment"
39,2014,"USA","MI","Female",17,"Left-Handed",165,25,167,1,"Car",15,0.46,51,"Bowling",1000,1000,588,412,278,267,25,"Same length",NA,NA,NA,"September","Fall","No","No","Poultry","Water","Music",8,8,4,"Yes - broadband connection","Text messaging",70,80,4,0,28,3,7,0,7,9,6,0,0,1,"Some","Graduate degree","Heavy metal","Fly","Happy","Teacher","Education/Youth development"
40,2014,"USA","WY","Male",12,"Right-Handed",150,23,138,1,"Bus",14,0.38,37,"Hockey (Ice)",900,950,900,900,100,100,22,"Right foot",70,80,"Ring finger","May","Summer","No","No","Meat","Tea","Mathematics and statistics",9,10,4,"Yes - other","In person",10,20,8,2,5,10,10,2,1,3,8,5,0,2,"A lot","Graduate degree","Rock and roll","Telepathy","Famous","Sports person","Health"
41,2015,"USA","PA","Female",11,"Right-Handed",144,22,141,1,"Bus",20,0.44,51,"Dancing",1000,1000,1000,1000,0,0,22,"Same length",60,63,"Ring finger","August","Summer","Yes","No","Vegetables","Tea","English",8,10,4,"Yes - broadband connection","Text messaging",4,30,12,2,10,5,6,1,2,2,2,6,3,3,"Some","Graduate degree","Pop","Telepathy","Healthy","Musician or singer","Health"
42,2013,"USA","FL","Female",17,"Right-Handed",171,9.5,171,1,"Car",15,0.59,34,"Dancing",706,695,690,711,749,861,15,"Left foot",60,60,"Same length","September","Summer","No","No","Seafood","Juice","Mathematics and statistics",8,8,3,"Yes - broadband connection","Text messaging",5,10,2,20,4,2,2,0,10,24,2,10,10,2,"Very little","Graduate degree","Rap/Hip hop","Invisibility","Happy","Business person","Education/Youth development"
43,2013,"USA","TX","Female",11,"Right-Handed",147,23,148,2,"Car",10,0.44,47,"Other",1000,1000,1000,1000,1000,1000,23,"Same length",60,70,"Ring finger","October","Summer","No","No","No favorite","Other","Physical education",10,13,2,"Yes - other","Myspace, Facebook, other social networking sites, or blog",99,96,14,10,5,9,10,10,8,10,12,11,0,7,"Very little","Other","Other","Invisibility","Healthy","Musician or singer","Health"
44,2010,"USA","PA","Female",17,"Left-Handed",160,22,162,1,"Car",15,0.38,87,"Running/Jogging",957,957,957,NA,765,1000,22,"Same length",90,85,"Index finger","February","Fall","Yes","No","Pizza/Pasta","Water","History",7,10,6,"Yes - broadband connection","Text messaging",250,250,13,4,9,5,8,0,2,4,3,3,15,2,"A lot","Graduate degree","Rap/Hip hop","Telepathy","Happy","Relative","International aid"
45,2014,"USA","PA","Male",15,"Right-Handed",169,25.5,182,3,"Car",13,0.18,42,"Tennis",666,500,300,666,1000,1000,26,"Left foot",103,107,"Ring finger","August","Summer","No","No","Meat","Water","Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",10,24,2,0,12,2,6,6,2,1,30,5,5,2,"A lot","Graduate degree","Pop","Freeze time","Rich","Friend","Health"
46,2015,"USA","WI","Female",13,"Right-Handed",148,21,150,1,"Bus",20,0.44,47,"Other",1000,800,300,0,50,1000,21,"Same length",80,80,"Same length","December","Fall","Yes","No","Breads/Sandwiches","Soft drink (non-caffeinated)","English",7,5,6,"Yes - broadband connection","Text messaging",95,151,12,0,7,45,5,0,10,65,60,1,0,1,"Some","Undergraduate degree","Punk rock","Telepathy","Happy","Musician or singer","Other"
47,2012,"USA","NJ","Female",17,"Right-Handed",188,28.5,200,1,"Walk",2,0.35,31,"Basketball",551,620,444,1000,1000,1000,29,"Same length",84,89,"Ring finger","August","Summer","Yes","No","No favorite","Water","Science",8,8.5,8,"Yes - broadband connection","In person",1,1,35,1,35,3,11,5,8,4,35,3,0,3,"Some","Graduate degree","Rhythm and blues (R&B)","Freeze time","Happy","Relative","International aid"
48,2014,"USA","MN","Female",16,"Right-Handed",162,26,162,1,"Car",8,0.33,37,"Dancing",400,500,400,400,500,1000,26,"Same length",90,92,"Ring finger","November","Summer","Yes","No","Pizza/Pasta","Water","Mathematics and statistics",7,10,3,"Yes - broadband connection","Text messaging",70,100,15,1,2,15,12,0,4,4,0,10,4,2,"A lot","Graduate degree","Country","Fly","Happy","Friend","Health"
49,2013,"USA","FL","Female",17,"Right-Handed",155,23,99,1,"Car",15,0.65,54,"Swimming",500,500,100,100,1000,1000,23,"Same length",76,75,"Index finger","May","Winter","Yes","No","No favorite","Water","Mathematics and statistics",6,10,4,"Yes - broadband connection","Text messaging",200,200,0,5,10,0,0,0,15,15,15,0,0,0,"A lot","Graduate degree","Rap/Hip hop","Invisibility","Healthy","Other","Wildlife, animals"
50,2013,"USA","MI","Female",17,"Ambidextrous",154,23,152,2,"Bus",10,0.32,42,"Soccer",893,786,1000,439,241,347,23,"Same length",90,70,"Index finger","November","Fall","No","No","Seafood","Tea","Science",5,5,5,"Yes - broadband connection","Text messaging",24,50,30,12,5,80,20,8,80,50,70,8,0,15,"Some","Graduate degree","Pop","Fly","Happy","Sports person","Religious"
51,2014,"USA","GU","Male",14,"Right-Handed",157,25,150,1,"Car",30,1.17,39,"Gymnastics",305,48,0,0,299,100,25,"Same length",NA,NA,NA,"July","Summer","No","No","Pizza/Pasta","Tea","Physical education",6,8,6,"Yes - other","In person",0,0,40,1,2,25,16,0,9,0,9,25,0,2,"A lot",NA,NA,NA,NA,NA,NA
52,2012,"USA","DC","Male",12,"Right-Handed",141,22,137,3,"Car",20,0.42,51,"Soccer",1000,1000,1000,1000,500,500,22,"Same length",75,70,"Index finger","February","Summer","Yes","No","No favorite","Juice","Mathematics and statistics",9,7,6,"Yes - broadband connection","Text messaging",10,15,10,1,2,10,9,3,2,4,2,2,0,1,"Very little","Graduate degree","Pop","Invisibility","Healthy","Sports person","Wildlife, animals"
53,2011,"USA","FL","Male",17,"Right-Handed",178,24,182,3,"Car",15,0.3,42,"Rowing",850,700,1000,NA,900,900,24,"Same length",75,70,"Index finger","October","Summer","No","No","Seafood","Water","History",6,10,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",30,30,72,2,15,24,21,2,10,96,10,10,0,5,"A lot","Other","Other","Freeze time","Happy","Relative","Environment"
54,2014,"USA","MI","Female",17,"Right-Handed",165,23,164,1,"Car",8,0.34,34,"Hockey (Ice)",50,50,50,50,50,80,22,"Right foot",60,60,"Same length","January","Winter","No","No","Meat","Water","History",6,8,2,"Yes - broadband connection","Text messaging",100,100,2,1,8,7,13,0,2,10,7,8,0,1,"A lot","Graduate degree","Classical","Super strength","Happy","Relative","Education/Youth development"
55,2013,"USA","PA","Female",17,"Right-Handed",173,24,171,2,"Car",9,0.3,30,"Athletics",650,700,650,700,550,500,25,"Left foot",NA,NA,NA,"February","Spring","Yes","No","Fruit","Water","Science",9,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",15,20,5,1,16,2,0,0,5,2,5,0,0,2,"Some","Graduate degree","Pop","Telepathy","Happy","Teacher","Health"
56,2012,"USA","KY","Male",17,"Right-Handed",184,27,185,2,"Car",22,0.44,35,"Walking/Hiking",950,800,950,NA,500,900,28,"Left foot",80,85,"Ring finger","October","Fall","Yes","No","Pizza/Pasta","Soft drink (caffeinated)","Science",8,8.5,4,"Yes - broadband connection","Internet chat or instant messaging",1,2,2,0,12,10,4,7,1,0,3,10,0,4,"Some","Other","Other","Telepathy","Healthy","Religious figure","International aid"
57,2014,"USA","PA","Male",17,"Right-Handed",173,26,163,1,"Car",5,0.45,15,"Baseball/Softball",700,400,1000,800,100,850,25,"Right foot",80,90,"Ring finger","March","Summer","Yes","No","Meat","Juice","Science",8,10,7,"Yes - broadband connection","Text messaging",50,50,20,1,3,3,21,0,2,2,10,15,8,1,"Some","Graduate degree","Country","Freeze time","Healthy","Relative","Education/Youth development"
58,2013,"USA","CA","Male",17,"Right-Handed",173,28,173,1,"Car",5,0.33,30,"Other",850,800,700,800,500,800,28,"Same length",89,91,"Ring finger","March","Summer","No","No","Fruit","Water","Science",6,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,55,6,1,10,3,9,12,8,10,98,1,0,2,"Very little","Graduate degree","Rock and roll","Freeze time","Happy","Other","Health"
59,2015,"USA","VA","Male",17,"Ambidextrous",175,22,163,2,"Car",30,0.2,32,"Hockey (Ice)",1000,1000,1000,1000,1000,1000,22,"Same length",61,61,"Same length","September","Summer","No","No","Meat","Soft drink (non-caffeinated)","History",6,9,4,"Yes - broadband connection","In person",7,9,5,0,3,2,7,10,2,3,7,2,0,0,"Very little","Graduate degree","Other","Freeze time","Famous","Actor","Education/Youth development"
60,2012,"USA","OH","Female",9,"Right-Handed",138,17.78,97,2,"Car",50,0.86,62,"Soccer",700,800,450,300,850,700,18,"Same length",NA,NA,NA,"June","Fall","Yes","No","Meat","Milk","Mathematics and statistics",10,13,4,"Yes - other","E-mail",0,3,2,1,6,4,5,3,1,3,2,5,0,3,"Very little","Graduate degree","Country","Freeze time","Happy","Sports person","Wildlife, animals"
61,2013,"USA","OH","Male",16,"Right-Handed",163,25,161,1,"Car",7,0.28,35,"Hockey (Ice)",337,444,160,610,449,449,25,"Same length",72,80,"Ring finger","January","Winter","No","No","Pizza/Pasta","Water","Mathematics and statistics",6,9,4,"Yes - broadband connection","In person",100,100,20,1,20,15,25,0,0,3,10,10,0,2,"A lot","Graduate degree","Rock and roll","Fly","Happy","Other","Education/Youth development"
62,2011,"USA","NM","Female",17,"Right-Handed",164,23,162,2,"Car",15,0.28,43,"Baseball/Softball",1000,1000,1000,NA,5,10,23,"Same length",95,95,"Same length","August","Spring","No","No","Pizza/Pasta","Sports drink","English",7,9,3,"Yes - dial-up connection","Text messaging",200,250,10,15,8,70,70,0,4,50,10,10,0,8,"Some","Graduate degree","Rap/Hip hop","Fly","Healthy","Relative","Health"
63,2014,"USA","WI","Male",17,"Right-Handed",186,29,186,1,"Car",9,0.34,49,"Golf",400,500,500,500,600,300,29,"Same length",92,97,"Ring finger","March","Spring","No","No","Meat","Water","Mathematics and statistics",8,6,2,"Yes - dial-up connection","Text messaging",30,50,12,1,8,5,3,0,1,2,2,10,10,1,"A lot","Undergraduate degree","Rap/Hip hop","Invisibility","Happy","Business person","Health"
64,2015,"USA","CA","Male",17,"Right-Handed",187,29,226,2,"Car",60,0.39,45,"Other",85,86,90,90,49,50,28,"Right foot",87,89,"Ring finger","February","Winter","Yes","No","No favorite","Water","History",5,9,3,"Yes - broadband connection","Text messaging",35,30,4,3,20,8,9,3,2,6,5,7,0,3,"Some","Graduate degree","Rap/Hip hop","Freeze time",NA,"Other","Environment"
65,2013,"USA","OK","Male",16,"Right-Handed",172,27,172,1,"Car",15,0.32,45,"Other",750,500,500,500,1000,1000,27,"Same length",70,80,"Ring finger","April","Summer","Yes","No","Pizza/Pasta","Soft drink (caffeinated)","Computers and technology",7,9,4,"Yes - broadband connection","In person",4,7,5,2,20,7,0,15,1,1,15,2,0,5,"A lot","Graduate degree","Techno/Electronic","Freeze time","Happy","Friend","International aid"
66,2014,"USA","NY","Female",17,"Right-Handed",161,23,165,1,"Car",5,0.34,41,"Other",800,1000,700,1000,900,800,23,"Same length",66,66,"Same length","November","Fall","Yes","No","Fruit","Water","Science",7,9,4,"Yes - broadband connection","Cell phone",25,25,15,10,10,10,20,0,10,5,5,4,3,8,"A lot","Graduate degree","Other","Fly","Happy","Relative","Wildlife, animals"
