"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
475,2014,"USA","MI","Female",16,"Right-Handed",158,21,157,2,"Other",4,0.37,35,"Basketball",0,0,0,0,0,1000,23,"Left foot",80,80,"Same length","June","Summer","No","No","Meat","Water","Other",7,8,4,"Yes - broadband connection","Text messaging",75,79,100,4,5,7,12,0,60,7,7,28,0,1,"A lot","Graduate degree","Gospel","Telepathy","Famous","Other","Other"
476,2012,"USA","SC","Female",17,"Right-Handed",168,25,173,1,"Car",15,0.92,54,"Dancing",10,5,10,NA,10,10,20,"Right foot",85,80,"Index finger","January","Spring","Yes","No","Seafood","Water","English",6,NA,5,"Yes - broadband connection","Text messaging",150,200,15,10,6,5,3,0,8,18,9,9,12,5,"Some","Graduate degree","Country","Invisibility","Rich","Relative","Religious"
477,2015,"USA","FL","Male",16,"Left-Handed",178,28,164,1,"Car",40,0.8,50,"Running/Jogging",1000,750,1000,1000,800,1000,26,"Right foot",95,70,"Index finger","September","Summer","No","No","Desserts","Soft drink (caffeinated)","Science",8,9,4,"Yes - other","Text messaging",6,5,5,6,8,7,3,25,0,5,18,10,0,0,"A lot","Graduate degree","Pop","Freeze time","Happy","Other","Wildlife, animals"
478,2013,"USA","OH","Male",15,"Right-Handed",181,28,185,1,"Bus",30,0.34,58,"Other",500,1000,750,1000,750,1000,27,"Right foot",80,90,"Ring finger","March","Summer","No","No","Meat","Juice","Computers and technology",6,10,5,"Yes - broadband connection","Internet chat or instant messaging",50,50,4,0,1,2,1,40,6,40,40,0,15,2,"A lot","Graduate degree","Techno/Electronic","Freeze time","Healthy","Friend","Health"
479,2014,"USA","IL","Female",14,"Left-Handed",170,24,176,1,"Car",10,0.45,57,"Swimming",500,100,50,1000,1000,500,25,"Left foot",70,75,"Ring finger","November","Spring","Yes","No","Seafood","Water","Music",8,10,3,"Yes - broadband connection","In person",0,0,5,1,9,12,2,0,0,0,3,15,1,1,"A lot","Graduate degree","Classical","Freeze time","Happy","Relative","Health"
480,2014,"USA","IL","Female",17,"Right-Handed",159,23,159,1,"Car",4,0.33,33,"Walking/Hiking",471,471,455,492,171,75,24,"Left foot",70,68,"Index finger","February","Fall","No","No","No favorite","Water","Social studies",7,10,5,"Yes - broadband connection","Text messaging",40,40,20,4,10,15,8,1,5,20,15,15,0,10,"Some","Graduate degree","Rock and roll","Fly","Happy","Relative","International aid"
481,2015,"USA","CA","Female",17,"Right-Handed",163,22.4,159,4,"Bus",50,0.48,47,"Other",1000,1000,800,800,1000,1000,23,"Left foot",66,76.2,"Ring finger","January","Winter","Yes","No","Desserts","Water","Science",8,10,4,"Yes - broadband connection","Text messaging",25,30,6,2,21,6,8,0,12,6,8,10,0,2,"A lot","Graduate degree","Pop","Telepathy","Happy","Relative","Health"
482,2014,"USA","NE","Female",16,"Right-Handed",170,28,163,1,"Car",35,0.5,40,"Other",305,754,128,37,1000,1000,28,"Same length",81,69,"Index finger","March","Fall","No","No","Pizza/Pasta","Juice","Social studies",5,9,3,"Yes - broadband connection","Text messaging",60,65,7,1,2,4,1,0,9,2,17,0,6,2,"A lot","Graduate degree","Other","Invisibility","Happy","Friend","Religious"
483,2011,"USA","NM","Female",17,"Right-Handed",167,24.5,169,1,"Bus",25,0.38,40,"Dancing",1000,1000,1000,NA,829,829,25,"Same length",72,68,"Index finger","November","Winter","Yes","Yes","Pizza/Pasta","Water","Music",7,7,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,5,10,35,5,18,0,10,10,2,17,8,7,7,"Some","Graduate degree","Other","Telepathy","Happy","Musician or singer","Other"
484,2011,"USA","NY","Female",17,"Right-Handed",160,24,162,1,"Car",30,0.32,39,"Soccer",941,679,390,NA,203,203,24,"Same length",92,96,"Ring finger","June","Fall","Yes","No","Breads/Sandwiches","Water","Mathematics and statistics",5,7,6,"Yes - other","Text messaging",30,34,5,3,5,17,7,1,5,7,6,7,0,4,"Some","Graduate degree","Rock and roll","Super strength","Happy","Relative","Health"
485,2014,"USA","CA","Female",12,"Right-Handed",99,25,106,2,"Car",11,0.75,39,"Soccer",631,695,829,738,781,797,26,"Left foot",70,80,"Ring finger","June","Summer","Yes","No","Fruit","Milk","Science",8,8,5,"Yes - broadband connection","In person",62,56,28,2,12,16,0,4,0,4,16,4,2,5,"Some","Other","Pop","Fly","Happy","Relative","Education/Youth development"
486,2011,"USA","IN","Female",11,"Right-Handed",137,23,138,1,"Bus",30,0.41,70,"Swimming",144,433,658,NA,273,86,23,"Same length",70,70,"Same length","April","Summer","No","No","Meat","Water","Art",10,9,4,"Yes - dial-up connection","In person",0,0,0,0,14,100,20,1,0,0,1,3,0,20,"A lot","Some college","Country","Invisibility","Healthy","Teacher","Health"
487,2011,"USA","CA","Male",16,"Right-Handed",170,28,175,2,"Car",11,0.3,37,"Other",500,500,462,NA,1000,600,28,"Same length",86,94,"Ring finger","September","Winter","Yes","No","Pizza/Pasta","Water","Music",7,11,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",32,37,10,1,17,3,12,1,20,7,20,2,0,2,"A lot","Graduate degree","Rock and roll","Freeze time","Happy","Musician or singer","International aid"
488,2014,"USA","MD","Male",13,"Right-Handed",158,9,168,1,"Bus",30,0.36,53,"Football (American)",8,9,5,10,2,8,9,"Same length",90,70,"Index finger","March","Summer","Yes","No","Meat","Energy drink","Physical education",7,5,6,"Yes - other","Text messaging",100,120,3,7,1,2,5,3,3,4,2,6,2,2,"Some","Graduate degree","Rap/Hip hop","Freeze time","Rich","Sports person","Wildlife, animals"
489,2013,"USA","PA","Female",11,"Right-Handed",152,21,150,2,"Bus",10,0.34,41,"Other",1000,1000,1000,1000,1,10,20,"Right foot",70,70,"Same length","May","Summer","No","No","Pizza/Pasta","Water","Computers and technology",9,10,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,6,1,2,2,6,1,1,1,1,4,1,1,"Some","Graduate degree","Other","Telepathy","Healthy","Other","Wildlife, animals"
490,2014,"USA","IL","Male",12,"Right-Handed",165,26,163,1,"Walk",2,0.48,47,"Lacrosse",700,600,500,400,100,100,24,"Right foot",65,68,"Ring finger","December","Winter","Yes","No","Other","Water","Physical education",9,8,4,"Yes - other","Text messaging",0,0,8,0,0,1,1,1,0,0,1,1,1,1,"Some","Graduate degree","Pop","Fly","Rich","Sports person","Other"
