"timestamp","calories","sat_fat","sodium","sugar","carbs","total_fat","healthy_level","serving_size","ingredients","name","salty_sweet"
2013-09-28 08:30:00,160,3,150,2,15,10,"Slightly Unhealthy",1,"PotatoesVegetable oilBBQ seasoning","Lays BBQ chips","Salty"
2013-10-10 08:09:00,150,1,160,1,15,8,"Unhealthy",1,"whole cans, blue 1, red 41","Dorito cool ranch","Salty"
2013-11-05 15:22:00,546,4,1,4,21,0,"Healthy",1,"almonds","almonds","Sweet"
2013-10-08 19:20:00,150,5,180,1,18,8,"Unhealthy",1,"Vitamin A vitamin C iron","Doritos","Salty"
2013-10-18 16:34:00,160,1,260,0,13,11,"Unhealthy",20,"Enriched corn meal,corn meal, ferrous sulfare","Cheetos","Salty"
2013-10-02 19:22:00,0,0,10,0,0,0,"Unhealthy",1,"Vitamin A vitamin C calcium","Topic chico","Salty"
2013-10-10 10:09:00,200,1,210,13,42,2,"Neither healthy nor unhealthy",1,"0brownue mix, sugar, enriched wheat flour","brownie","Sweet"
2013-10-15 16:47:00,140,0,45,39,39,0,"Slightly Unhealthy",1,"Carbonated water natural flavors caffeine","Coca-Cola","Sweet"
2013-10-10 10:29:00,140,1,190,0,16,8,"Slightly Unhealthy",1,"Corn,vegetable oil,sunflower","Doritos","Salty"
2013-11-26 14:33:00,320,3,500,1,30,22,"Unhealthy",1,"Enriched corn meal, vegetable oil, salt","Cheetos","Salty"
2013-10-27 17:33:00,130,5,180,9,25,3,"Slightly Unhealthy",1,"Whole grain wheat, sugar, rice flour","Cinnamon toast crunch","Sweet"
2013-10-28 16:26:00,250,0,15,59,60,0,"Neither healthy nor unhealthy",1,"Filtered water, sugar, apple","Snapple fruit punch","Sweet"
2013-10-25 18:26:00,100,2,0,14,25,5,"Unhealthy",1,"Sugar, oil, water","Frosting","Sweet"
2013-10-18 06:48:00,60,5,30,9,12,1,"Neither healthy nor unhealthy",1,"grade a low fat milksuger cotton candy","gogurt","Sweet"
2013-10-25 18:00:00,210,8,35,24,26,13,"Slightly Unhealthy",1,"Milk chocolate , butter , sugar","Hersheys milk chocolate","Sweet"
