Date,City,CO,NO2,SO2,O3,PM2.5,PM10,Type
2024-10-21 04:00:00+00:00,Beijing,728.0,38.0,78.2,16.0,65.7,95.2,Industrial
2024-08-24 16:00:00+00:00,Beijing,2307.0,159.2,88.5,0.0,210.5,301.7,Industrial
2024-03-28 06:00:00+00:00,Beijing,191.0,7.7,16.7,96.0,9.1,14.9,Industrial
2024-06-21 06:00:00+00:00,Beijing,493.0,69.9,50.8,24.0,47.1,69.6,Industrial
2024-10-30 09:00:00+00:00,Beijing,2637.0,50.2,93.8,0.0,125.7,185.3,Industrial
2024-03-05 23:00:00+00:00,Beijing,764.0,57.9,36.0,7.0,48.8,71.2,Industrial
2024-08-06 09:00:00+00:00,Beijing,654.0,47.2,34.6,213.0,65.9,96.4,Industrial
2024-12-27 08:00:00+00:00,Beijing,573.0,29.3,16.6,44.0,13.4,16.2,Industrial
2024-07-22 22:00:00+00:00,Beijing,583.0,67.9,42.0,14.0,80.6,115.3,Industrial
2024-03-13 09:00:00+00:00,Beijing,308.0,30.0,12.2,60.0,25.6,84.8,Industrial
2024-01-27 23:00:00+00:00,Beijing,1387.0,44.0,84.8,3.0,88.9,127.6,Industrial
2024-03-15 07:00:00+00:00,Beijing,732.0,45.4,53.5,96.0,93.4,155.1,Industrial
2024-07-19 18:00:00+00:00,Beijing,713.0,86.2,36.0,17.0,66.6,95.5,Industrial
2024-07-13 22:00:00+00:00,Beijing,649.0,44.1,36.0,66.0,105.7,153.7,Industrial
2024-05-25 17:00:00+00:00,Beijing,834.0,90.0,68.5,3.0,76.1,119.7,Industrial
2024-12-14 20:00:00+00:00,Beijing,1749.0,47.3,62.2,19.0,92.2,103.8,Industrial
2024-08-11 05:00:00+00:00,Beijing,323.0,13.2,9.9,114.0,12.7,18.3,Industrial
2024-04-30 13:00:00+00:00,Beijing,637.0,84.9,32.2,4.0,38.9,61.0,Industrial
2024-02-14 01:00:00+00:00,Beijing,1033.0,37.6,54.6,18.0,71.5,107.1,Industrial
2024-02-14 22:00:00+00:00,Beijing,877.0,47.8,53.2,6.0,42.3,60.5,Industrial
2024-02-01 22:00:00+00:00,Beijing,1859.0,46.9,122.9,0.0,117.1,168.1,Industrial
2024-08-01 02:00:00+00:00,Beijing,689.0,52.3,45.3,130.0,96.9,139.2,Industrial
2024-10-21 16:00:00+00:00,Beijing,1692.0,48.7,80.8,0.0,103.6,149.5,Industrial
2024-10-06 03:00:00+00:00,Beijing,1301.0,52.4,79.7,12.0,126.7,183.5,Industrial
2024-10-13 11:00:00+00:00,Beijing,2463.0,82.1,114.7,0.0,192.3,285.0,Industrial
2024-05-14 01:00:00+00:00,Beijing,453.0,32.2,19.8,46.0,20.2,31.9,Industrial
2024-04-29 08:00:00+00:00,Beijing,287.0,27.1,15.2,65.0,17.6,25.3,Industrial
2024-08-08 20:00:00+00:00,Beijing,1304.0,91.2,59.9,0.0,127.1,184.4,Industrial
2024-07-10 17:00:00+00:00,Beijing,852.0,86.4,36.0,25.0,87.1,125.3,Industrial
2024-12-09 08:00:00+00:00,Beijing,2537.0,67.8,133.9,7.0,126.2,128.5,Industrial
2024-02-23 23:00:00+00:00,Beijing,2324.0,51.1,151.6,0.0,164.4,235.2,Industrial
2024-10-03 06:00:00+00:00,Beijing,543.0,50.2,49.9,53.0,37.6,57.2,Industrial
2024-10-06 20:00:00+00:00,Beijing,758.0,47.0,50.4,0.0,72.2,104.3,Industrial
2024-03-04 18:00:00+00:00,Beijing,1094.0,62.4,60.1,0.0,96.4,157.9,Industrial
2024-06-20 08:00:00+00:00,Beijing,518.0,20.4,31.1,228.0,65.0,95.0,Industrial
2024-04-25 00:00:00+00:00,Beijing,782.0,43.2,40.3,14.0,63.6,91.0,Industrial
2024-02-11 18:00:00+00:00,Beijing,2398.0,58.3,146.5,0.0,169.5,243.1,Industrial
2024-07-08 01:00:00+00:00,Beijing,549.0,39.8,33.7,80.0,42.3,61.0,Industrial
2024-05-27 07:00:00+00:00,Beijing,249.0,13.8,8.0,126.0,24.4,35.4,Industrial
2024-03-21 06:00:00+00:00,Beijing,589.0,42.1,43.8,49.0,67.8,112.2,Industrial
2024-07-28 23:00:00+00:00,Beijing,851.0,62.9,63.9,14.0,96.9,141.6,Industrial
2024-04-12 10:00:00+00:00,Beijing,612.0,49.9,30.3,109.0,65.7,98.3,Industrial
2024-09-06 00:00:00+00:00,Beijing,1009.0,32.6,33.2,8.0,59.5,85.0,Industrial
2024-04-02 00:00:00+00:00,Beijing,2195.0,44.3,58.4,3.0,89.4,135.0,Industrial
2024-08-01 18:00:00+00:00,Beijing,1427.0,142.8,72.7,0.0,170.4,244.0,Industrial
2024-12-20 18:00:00+00:00,Beijing,399.0,10.5,11.2,50.0,14.1,18.7,Industrial
