"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"14 years old","Male","9th grade","Yes","Multiple - Hispanic / Latino",1.57,56.7,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","2 times per day","1 time per day","1 time per day","1 glass per day","7 days","7 days","2 hours per day","1 hour per day","2 teams","No","8 hours","1 time per day","1 time per day","0 times"
"16 years old","Female","10th grade","Yes","Hispanic/Latino",1.68,78.02,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","3 days","5 days","2 hours per day","1 hour per day","1 team","No","7 hours",NA,NA,NA
"15 years old","Male","10th grade","Yes","Hispanic/Latino",1.73,73.48,"Did not ride a bicycle","Most of the time","0 days","1 time","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","3 times per day","Did not eat green salad","1 time per day","Did not drink milk","7 days","7 days","Less than 1 hour per day","2 hours per day","3 or more teams","No","8 hours","Did not drink sports drink","4 or more times per day","1 times"
"17 years old","Female","12th grade","No","White",1.63,54.43,"Never wore a helmet","Most of the time","3 to 5 days","0 times","Yes","No","Yes","10 to 19 days","6 to 9 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","Did not drink soda or pop","4 to 6 glasses","7 days","7 days","2 hours per day","2 hours per day","0 teams","No","7 hours","Did not drink sports drink","2 times per day","1 times"
"14 years old","Female","9th grade","No","White",1.7,59.88,"Rarely wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","2 times per day","1 to 3 times","Did not drink soda or pop","1 glass per day","7 days","6 days","No TV on average school day","No playing video/computer game","2 teams","Yes","8 hours","1 time per day","2 times per day","0 times"
"17 years old","Female","11th grade","Yes","Hispanic/Latino",1.52,66.68,NA,"Always",NA,"0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Very overweight","2 times per day","4 or more times per day","Did not eat green salad","Did not drink soda or pop","Did not drink milk","7 days","6 days","1 hour per day","5 or more hours per day","2 teams","Yes","5 hours","4 or more times per day","4 or more times per day","5 or more times"
"15 years old","Female","10th grade","No","Asian",1.55,54.43,"Never wore a helmet","Always",NA,NA,"No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 time per day","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","7 days","4 days","2 hours per day","4 hours per day","0 teams","No","5 hours",NA,NA,NA
"18 years old or older","Male","12th grade","Yes","Multiple - Hispanic / Latino",NA,NA,"Always wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days",NA,NA,"4 or more times per day","2 times per day","Did not eat green salad","1 to 3 times","Did not drink milk","0 days","0 days","No TV on average school day","No playing video/computer game","0 teams","Yes","6 hours","Did not drink sports drink","Did not drink water","0 times"
"18 years old or older","Female","12th grade","No","Asian",1.45,54.43,"Did not ride a bicycle","Sometimes","1 or 2 days","4 or 5 times","No","Yes","Yes","1 or 2 days","3 to 5 days","Heterosexual (straight)","Slightly overweight","4 or more times per day","4 or more times per day","4 or more times per day","3 times per day","2 glasses per day","7 days","3 days","Less than 1 hour per day","Less than 1 hour per day","0 teams","Yes","5 hours","4 or more times per day","4 or more times per day","0 times"
"15 years old","Female","9th grade","No","White",NA,NA,NA,NA,"0 days",NA,"Yes","Yes","No","0 days","0 days","Heterosexual (straight)","Very overweight","4 to 6 times","2 times per day","1 to 3 times","1 to 3 times",NA,NA,"5 days","1 hour per day","3 hours per day",NA,"Yes","6 hours",NA,NA,NA
"14 years old","Male","9th grade","No","White",1.6,70.31,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","All 30 days","All 30 days","bisexual",NA,"4 or more times per day","4 or more times per day","1 time per day","4 or more times per day",NA,NA,"7 days","No TV on average school day","No playing video/computer game",NA,"No","7 hours",NA,NA,NA
"17 years old","Female","12th grade","Yes","Hispanic/Latino",1.6,72.58,"Rarely wore a helmet","Always","0 days","1 time","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","4 or more times per day","4 or more times per day","1 to 3 times","2 times per day","2 glasses per day","7 days","1 day","3 hours per day","No playing video/computer game","0 teams","No","8 hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","White",1.83,61.24,"Did not ride a bicycle","Always","All 30 days","1 time","No","No","No",NA,"6 to 9 days","Heterosexual (straight)","Slightly underweight","4 to 6 times","4 to 6 times","4 to 6 times","1 to 3 times","1 glass per day","2 days","7 days",NA,NA,"3 or more teams",NA,"6 hours","4 to 6 times","4 or more times per day",NA
"17 years old","Male","11th grade","No","Black or African American",1.8,113.85,"Never wore a helmet","Rarely","6 to 9 days","0 times","No","No","No",NA,"All 30 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18 years old or older","Male","12th grade","No","Black or African American",1.8,63.05,"Most of the time wore a helmet","Always","0 days",NA,"No","No","Yes","0 days",NA,"Heterosexual (straight)","Slightly underweight","4 or more times per day","3 times per day","Did not eat green salad","4 to 6 times","1 glass per day","0 days","2 days","4 hours per day","Less than 1 hour per day","2 teams",NA,"7 hours",NA,NA,NA
"15 years old","Female","9th grade","No","White",1.57,46.27,NA,NA,"I did not drive the past 30 days",NA,"No","Yes","Yes","0 days","0 days","Not sure","Slightly underweight","1 to 3 times","2 times per day","2 times per day","Did not drink soda or pop",NA,NA,"2 days","Less than 1 hour per day","2 hours per day",NA,"No","4 or less hours",NA,NA,NA
"17 years old","Male","12th grade","Yes","Multiple - Hispanic / Latino",1.68,68.04,NA,NA,"I did not drive the past 30 days",NA,"No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times",NA,"5 days","7 days","No TV on average school day","No playing video/computer game",NA,NA,NA,NA,NA,NA
"17 years old","Female","12th grade","No","White",1.78,93.9,"Most of the time wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","4 to 6 times","1 to 3 times","4 to 6 times","1 to 3 glasses","7 days","2 days","2 hours per day","3 hours per day","0 teams","Not sure","7 hours","1 to 3 times","4 or more times per day","5 or more times"
"15 years old","Female","10th grade","No","Black or African American",NA,NA,NA,"Always","I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times",NA,"7 days","0 days","4 hours per day","4 hours per day",NA,NA,NA,NA,NA,NA
"18 years old or older","Male","12th grade","No","White",1.9,78.02,"Never wore a helmet","Always","All 30 days","0 times","No","Yes","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 time per day","1 time per day","Did not eat green salad","Did not drink soda or pop","4 or more glasses per day","2 days","7 days","Less than 1 hour per day","3 hours per day","3 or more teams","No","7 hours","1 to 3 times","4 or more times per day","3 times"
"16 years old","Female","10th grade","No","White",1.5,45.81,"Never wore a helmet","Always","0 days","0 times","Yes","No","Yes","0 days","0 days",NA,"About the right weight","4 or more times per day","4 or more times per day","1 to 3 times","Did not drink soda or pop","3 glasses per day","5 days","7 days","No TV on average school day","5 or more hours per day","3 or more teams","No","8 hours","1 time per day","2 times per day","1 times"
"15 years old","Female","9th grade","No","White",1.68,58.97,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","1 time","No","No","Yes","0 days","10 to 19 days","bisexual","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","4 to 6 times","Did not drink milk","4 days","4 days","No TV on average school day","2 hours per day","0 teams","Yes","5 hours","Did not drink sports drink","4 to 6 times","5 or more times"
"17 years old","Female","12th grade",NA,NA,1.52,61.24,NA,NA,"0 days",NA,"Yes","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","4 to 6 times","1 to 3 times","1 time per day",NA,NA,"3 days","2 hours per day","3 hours per day",NA,"Yes","8 hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","Multiple - Non-Hispanic",1.65,68.04,"Always wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","6 days","1 day","No TV on average school day","4 hours per day","0 teams","No","5 hours","Did not drink sports drink","4 or more times per day","0 times"
"16 years old","Male","10th grade","No","Asian",1.73,63.5,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop","1 to 3 glasses","7 days","4 days","2 hours per day","4 hours per day","1 team","No","6 hours","Did not drink sports drink","3 times per day","2 times"
"16 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",1.57,63.96,"Rarely wore a helmet","Always","I did not drive the past 30 days","1 time","No","No","Yes","1 or 2 days","20 to 29 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","4 or more times per day","1 to 3 times","1 to 3 times","1 to 3 glasses","5 days","3 days","2 hours per day","1 hour per day","2 teams","No","8 hours","1 to 3 times","4 to 6 times","5 or more times"
"17 years old","Female","11th grade","No","White",1.55,57.15,"Most of the time wore a helmet","Always","0 days","2 or 3 times","Yes","Yes","Yes","0 days","0 days","bisexual","Slightly overweight","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 glasses","3 days","2 days","1 hour per day","1 hour per day","0 teams","Yes","8 hours","Did not drink sports drink","4 or more times per day","1 times"
"14 years old","Female","9th grade","No","White",1.88,69.4,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","1 time per day","4 to 6 times","Did not drink soda or pop",NA,NA,"7 days","1 hour per day","Less than 1 hour per day",NA,"Yes","8 hours",NA,NA,NA
"16 years old","Female","10th grade","No","White",1.63,47.63,"Never wore a helmet","Always","0 days","0 times","Yes","Yes","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","3 times per day","Did not eat green salad","Did not drink soda or pop","2 glasses per day","0 days","6 days","Less than 1 hour per day","2 hours per day","0 teams","No","6 hours","Did not drink sports drink","4 or more times per day","5 or more times"
"16 years old","Female","11th grade","No","Black or African American",1.6,53.52,"Did not ride a bicycle","Most of the time",NA,NA,"No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 time per day","4 to 6 times","1 time per day","Did not drink milk","5 days","0 days","1 hour per day","5 or more hours per day","1 team","Yes","5 hours",NA,NA,NA
"16 years old","Male","10th grade","No","White",1.88,113.4,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 glass per day","5 days","7 days","3 hours per day","1 hour per day","0 teams","No","8 hours","Did not drink sports drink","4 or more times per day","0 times"
"17 years old","Male","12th grade","No","White",1.83,72.58,"Never wore a helmet","Always","1 or 2 days","0 times","No","No","No","1 or 2 days","10 to 19 days","Heterosexual (straight)","Slightly underweight","1 time per day","4 to 6 times","1 time per day","4 to 6 times","Did not drink milk","1 day","7 days","1 hour per day","Less than 1 hour per day","1 team","No","7 hours","1 to 3 times","2 times per day","2 times"
"16 years old","Female","9th grade","No","White",1.47,73.94,"Never wore a helmet","Rarely","0 days","0 times","Yes","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 time per day","Did not eat green salad","1 to 3 times","1 glass per day","3 days","3 days","5 or more hours per day","No playing video/computer game","0 teams","No","7 hours",NA,NA,NA
"15 years old","Female","10th grade","No","Black or African American",1.57,89.36,"Never wore a helmet","Most of the time","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Very overweight","4 or more times per day","2 times per day","Did not eat green salad","1 time per day","Did not drink milk","3 days","4 days","3 hours per day","5 or more hours per day","2 teams","Yes","8 hours","2 times per day","Did not drink water","0 times"
"16 years old","Male","11th grade","No","White",1.9,97.07,"Always wore a helmet","Always","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 glass per day","7 days","4 days","1 hour per day","2 hours per day","1 team","No","7 hours","Did not drink sports drink","3 times per day","1 times"
"18 years old or older","Male","12th grade","Yes","Hispanic/Latino",1.73,61.24,"Never wore a helmet","Always","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","4 or more times per day","1 to 3 times","Did not eat green salad","Did not drink soda or pop","1 to 3 glasses","2 days","7 days","3 hours per day","5 or more hours per day","0 teams","No","7 hours","4 to 6 times","3 times per day","0 times"
"14 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.7,59.42,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 time per day","1 to 3 times","1 to 3 times","1 to 3 times",NA,NA,"3 days","Less than 1 hour per day","5 or more hours per day",NA,"No","7 hours",NA,NA,NA
"17 years old","Female","12th grade","No","White",1.78,72.58,"Did not ride a bicycle","Most of the time","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","3 times per day","2 times per day","Did not eat green salad","1 to 3 times","2 glasses per day","7 days","0 days","3 hours per day","1 hour per day","0 teams","No","8 hours","Did not drink sports drink","Did not drink water","0 times"
"14 years old","Female","9th grade","No","Multiple - Non-Hispanic",1.6,45.36,"Most of the time wore a helmet","Always","I did not drive the past 30 days","0 times","Yes","No","Yes","0 days","0 days","bisexual","Slightly underweight","2 times per day","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","3 days","2 hours per day","5 or more hours per day","0 teams","No","7 hours","Did not drink sports drink","4 to 6 times","0 times"
"17 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.65,72.58,"Did not ride a bicycle","Always","All 30 days","0 times","No","Yes","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","4 or more times per day","1 to 3 times","1 to 3 times","1 to 3 glasses","4 days","2 days","2 hours per day","5 or more hours per day","2 teams","No","7 hours","Did not drink sports drink","4 or more times per day","0 times"
"15 years old","Male","9th grade","No","White",1.73,61.24,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","1 time","No","No","No",NA,"1 or 2 days","Gay or lesbian","Very underweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","Did not drink soda or pop","Did not drink milk","0 days","0 days","No TV on average school day","No playing video/computer game","0 teams","Yes","4 or less hours",NA,NA,NA
"17 years old","Male","12th grade","No","Multiple - Non-Hispanic",1.73,56.25,"Rarely wore a helmet","Always",NA,"0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 time per day","2 times per day","1 to 3 times","1 to 3 times","1 glass per day","6 days","2 days","1 hour per day","3 hours per day",NA,"Yes","9 hours","Did not drink sports drink","1 to 3 times","0 times"
"16 years old","Female","10th grade","No","White",1.6,54.43,NA,"Most of the time","I did not drive the past 30 days",NA,"No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","2 times per day",NA,"7 days","1 day","5 or more hours per day","5 or more hours per day",NA,NA,NA,NA,NA,NA
"16 years old","Female","10th grade","No","Multiple - Non-Hispanic",1.68,77.11,"Did not ride a bicycle","Always","3 to 5 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","2 times per day","Did not eat green salad","1 to 3 times","Did not drink milk","7 days","0 days","5 or more hours per day","5 or more hours per day","1 team","Yes","6 hours",NA,NA,NA
"15 years old","Male","11th grade","No","White",1.83,90.72,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","All 30 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","4 or more times per day",NA,NA,"1 day","2 hours per day","5 or more hours per day",NA,"No","5 hours",NA,NA,NA
"18 years old or older","Female","12th grade","No","White",1.68,95.26,"Never wore a helmet","Always","3 to 5 days","0 times","No","No","No","All 30 days","1 or 2 days","Heterosexual (straight)","Slightly overweight","1 time per day","4 to 6 times","1 to 3 times","1 to 3 times","1 glass per day","7 days","2 days","1 hour per day","No playing video/computer game","0 teams","No","7 hours","Did not drink sports drink","3 times per day","0 times"
"15 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.7,58.97,"Did not ride a bicycle","Always","I did not drive the past 30 days","1 time","Yes","Yes","Yes","0 days","1 or 2 days","Not sure","Very overweight","Did not drink fruit juice","1 time per day","1 to 3 times","1 to 3 times","1 to 3 glasses","4 days","7 days","Less than 1 hour per day","1 hour per day","3 or more teams","No","7 hours","4 to 6 times","2 times per day","0 times"
"15 years old","Female","9th grade","No","Multiple - Non-Hispanic",1.75,72.58,"Always wore a helmet","Always","0 days","2 or 3 times","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","1 time per day","Did not drink milk","7 days","7 days","2 hours per day","2 hours per day","2 teams","Yes","4 or less hours",NA,NA,NA
"17 years old","Female","12th grade","No","White",1.57,49.9,"Did not ride a bicycle","Always","0 days","0 times","No","Yes","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","1 to 3 times","1 to 3 times","4 to 6 times","1 glass per day","7 days","3 days","2 hours per day","4 hours per day","1 team","No","7 hours","Did not drink sports drink","4 to 6 times","2 times"
"15 years old","Male","9th grade","No","White",1.9,77.11,"Rarely wore a helmet","Always","I did not drive the past 30 days","4 or 5 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","1 to 3 times","1 to 3 times","2 glasses per day","5 days","6 days","1 hour per day","Less than 1 hour per day","3 or more teams","No","8 hours","1 to 3 times","2 times per day","5 or more times"
"16 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.6,55.34,"Did not ride a bicycle","Most of the time","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times",NA,"1 to 3 times","1 to 3 times","1 to 3 glasses","6 days","4 days","No TV on average school day","1 hour per day","0 teams","No","9 hours","3 times per day","3 times per day","0 times"
"16 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",1.7,95.26,"Never wore a helmet","Always","0 days","1 time","Yes","Yes","Yes","0 days","0 days","Heterosexual (straight)","Very overweight","4 to 6 times","4 or more times per day","Did not eat green salad","1 to 3 times","4 to 6 glasses","2 days","7 days","2 hours per day","No playing video/computer game","3 or more teams","No","6 hours","3 times per day","4 or more times per day","0 times"
"17 years old","Female","12th grade","Yes","Hispanic/Latino",1.7,74.84,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","4 to 6 times","1 to 3 times","Did not drink soda or pop","1 to 3 glasses","7 days","2 days","No TV on average school day","4 hours per day","0 teams","No","5 hours","1 to 3 times","4 or more times per day","0 times"
"16 years old","Male","11th grade","Yes","Hispanic/Latino",NA,NA,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","Did not drink soda or pop","2 glasses per day","5 days","3 days","2 hours per day","5 or more hours per day","0 teams","No","8 hours","Did not drink sports drink","Did not drink water","0 times"
"17 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.5,49.9,"Did not ride a bicycle","Most of the time","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","2 times per day","Did not drink milk","2 days","1 day","1 hour per day","3 hours per day","0 teams","No","6 hours",NA,NA,NA
"17 years old","Female","11th grade","Yes","Hispanic/Latino",1.63,53.52,"Never wore a helmet","Always","0 days","0 times","Yes","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","2 times per day","2 times per day","4 or more times per day","Did not drink milk","0 days","2 days","2 hours per day","1 hour per day","2 teams","No","6 hours","3 times per day","4 or more times per day","4 times"
"17 years old","Female","12th grade","No","White",1.7,67.59,"Most of the time wore a helmet","Always","1 or 2 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","4 to 6 times","4 to 6 times","Did not drink soda or pop","2 glasses per day","7 days","6 days","Less than 1 hour per day","1 hour per day","2 teams","No","6 hours","Did not drink sports drink","2 times per day","5 or more times"
"15 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",NA,NA,"Sometimes wore a helmet","Always","I did not drive the past 30 days","12 or more times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","4 to 6 times","4 to 6 times","Did not drink soda or pop","2 glasses per day","7 days","7 days","Less than 1 hour per day","5 or more hours per day","3 or more teams","Yes","7 hours","Did not drink sports drink","4 or more times per day","3 times"
"15 years old","Female","10th grade","No","Multiple - Non-Hispanic",1.57,47.63,NA,"Sometimes","I did not drive the past 30 days","2 or 3 times","Yes","No","Yes","3 to 5 days",NA,NA,"Slightly underweight","2 times per day","1 to 3 times","Did not eat green salad","1 to 3 times",NA,"4 days","7 days","No TV on average school day","1 hour per day",NA,NA,"7 hours",NA,"1 time per day",NA
"17 years old","Female","11th grade","No","Multiple - Non-Hispanic",1.6,68.49,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink soda or pop","Did not drink milk","0 days","6 days","2 hours per day","1 hour per day","1 team","Yes","6 hours",NA,NA,NA
"14 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.57,65.77,"Did not ride a bicycle","Always","I did not drive the past 30 days","1 time","Yes","No","Yes","0 days","0 days","bisexual","Slightly overweight","1 to 3 times","1 to 3 times","Did not eat green salad","4 to 6 times","1 to 3 glasses","0 days","3 days","No TV on average school day","5 or more hours per day","0 teams","No","6 hours","Did not drink sports drink","4 to 6 times","0 times"
"14 years old","Male","9th grade","No","White",1.78,88,"Never wore a helmet","Rarely","I did not drive the past 30 days","2 or 3 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","0 days","5 days","2 hours per day","Less than 1 hour per day","1 team","No","5 hours","1 to 3 times","Did not drink water","0 times"
"16 years old","Male","10th grade","No","White",1.6,43.09,"Never wore a helmet","Sometimes","6 to 9 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 glasses","1 day","7 days","4 hours per day","4 hours per day","3 or more teams","No","6 hours","1 to 3 times","4 or more times per day","2 times"
"14 years old","Female","9th grade","No","White",1.6,47.63,NA,NA,"I did not drive the past 30 days",NA,"Yes","Yes","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","1 to 3 times","4 to 6 times","Did not drink soda or pop",NA,NA,"6 days","1 hour per day","2 hours per day",NA,"No","6 hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","Black or African American",1.75,89.81,"Never wore a helmet","Most of the time","0 days","2 or 3 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","2 times per day","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 glasses","5 days","7 days","5 or more hours per day","Less than 1 hour per day","2 teams","No","7 hours","1 to 3 times","4 or more times per day","1 times"
"17 years old","Female","12th grade","No","White",1.6,78.93,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","Yes","Yes","No","1 or 2 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","0 days","0 days","No TV on average school day","No playing video/computer game","0 teams","No","8 hours","Did not drink sports drink","4 or more times per day","0 times"
"12 years old or younger","Male","10th grade","No","Black or African American",NA,NA,NA,NA,"6 to 9 days",NA,"No","No","No",NA,"All 30 days","Heterosexual (straight)","About the right weight","4 or more times per day","Did not eat fruit","Did not eat green salad","4 or more times per day",NA,NA,"7 days","2 hours per day","1 hour per day",NA,"No","7 hours",NA,NA,NA
"15 years old","Male","9th grade","Yes","Hispanic/Latino",1.7,77.11,"Rarely wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","Did not eat green salad","4 to 6 times","1 to 3 glasses","5 days","7 days","2 hours per day","Less than 1 hour per day","2 teams","No","8 hours","4 to 6 times","2 times per day","1 times"
"14 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.7,56.7,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 time per day","Did not eat green salad","Did not drink soda or pop","Did not drink milk","7 days","7 days","1 hour per day","5 or more hours per day","1 team","No","4 or less hours","Did not drink sports drink","4 or more times per day","0 times"
"16 years old","Male","11th grade","No","Multiple - Non-Hispanic",1.73,48.99,"Never wore a helmet","Always","0 days","1 time","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly underweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","4 to 6 times","4 to 6 glasses","3 days","4 days","No TV on average school day","4 hours per day","1 team",NA,"6 hours",NA,NA,NA
"17 years old","Female","11th grade","No","Black or African American",1.5,61.69,NA,"Most of the time","I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","1 to 3 times",NA,"1 day","4 days","1 hour per day","Less than 1 hour per day",NA,NA,NA,NA,NA,NA
"15 years old","Male","10th grade","No","Native Hawaiian/other PI",1.83,104.33,NA,NA,NA,NA,"No","No","No","1 or 2 days","6 to 9 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","4 to 6 times","4 to 6 times","4 to 6 times",NA,NA,"1 day","No TV on average school day","No playing video/computer game",NA,"No","4 or less hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","White",1.65,62.14,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","2 times per day","4 or more times per day","4 to 6 times","4 to 6 times","4 to 6 glasses","7 days","4 days","2 hours per day","2 hours per day","1 team","No","6 hours",NA,NA,NA
"17 years old","Female","11th grade","No","Black or African American",1.73,58.06,"Never wore a helmet","Sometimes","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days",NA,"About the right weight","4 to 6 times","1 to 3 times","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","3 days","0 days","1 hour per day","2 hours per day","0 teams","No","6 hours","Did not drink sports drink","1 time per day",NA
"15 years old","Female","10th grade","No","White",1.75,61.24,"Did not ride a bicycle","Always","0 days","0 times","Yes","Yes","Yes","0 days","0 days","Gay or lesbian","About the right weight","Did not drink fruit juice","1 time per day","Did not eat green salad","Did not drink soda or pop","1 glass per day","6 days","7 days","Less than 1 hour per day","4 hours per day","2 teams","No","8 hours","Did not drink sports drink","4 or more times per day","2 times"
