"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"15 years old","Female","10th grade","No","Black or African American",1.63,41.73,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","Did not drink fruit juice","4 to 6 times","Did not eat green salad","Did not drink soda or pop","1 to 3 glasses","7 days","2 days","No TV on average school day","2 hours per day","1 team",NA,"5 hours",NA,NA,NA
"16 years old","Female","11th grade","No","Am Indian / Alaska Native",1.7,56.7,NA,"Always","0 days","0 times","No","No","No","0 days",NA,"bisexual","About the right weight","3 times per day","3 times per day","4 to 6 times","Did not drink soda or pop","2 glasses per day","7 days","7 days",NA,NA,NA,NA,"5 hours",NA,NA,NA
"16 years old","Male","11th grade","No","White",1.78,70.31,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","3 times per day",NA,NA,"2 days","5 or more hours per day","5 or more hours per day",NA,"Not sure","8 hours",NA,NA,NA
"16 years old","Male","10th grade","No","White",1.7,115.67,NA,NA,"0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Very overweight","1 to 3 times","1 time per day","Did not eat green salad","3 times per day",NA,NA,"7 days","3 hours per day","2 hours per day",NA,"No","8 hours",NA,NA,NA
"17 years old","Male","12th grade","No","White",1.78,81.65,"Never wore a helmet","Rarely","3 to 5 days","2 or 3 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","2 days","3 days","Less than 1 hour per day","4 hours per day","0 teams","Yes","7 hours",NA,NA,NA
"14 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.65,56.25,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","4 or more times per day","1 time per day","1 time per day","1 glass per day","3 days","4 days","No TV on average school day","No playing video/computer game","2 teams","No","6 hours",NA,NA,NA
"15 years old","Female","9th grade","No","White",1.57,47.17,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","Did not eat fruit","1 to 3 times","Did not drink soda or pop","Did not drink milk","7 days","5 days","No TV on average school day","3 hours per day","3 or more teams","No","7 hours","1 to 3 times","2 times per day","0 times"
"17 years old","Female","11th grade","No","White",1.6,52.16,"Always wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","1 to 3 times","Did not drink soda or pop","1 glass per day","3 days","6 days","2 hours per day","1 hour per day","3 or more teams","No","6 hours","1 time per day","2 times per day","5 or more times"
"17 years old","Male","12th grade","Yes","Hispanic/Latino",1.75,96.62,"Never wore a helmet","Always","All 30 days","6 or 7 times","No","No","No","0 days","20 to 29 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","2 times per day","Did not eat green salad","Did not drink soda or pop","1 to 3 glasses","3 days","7 days","3 hours per day","1 hour per day","1 team","No","9 hours","1 time per day","4 or more times per day","0 times"
"14 years old","Female","9th grade","No","Multiple - Non-Hispanic",1.55,44.91,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","Yes","Yes","Yes","0 days","0 days","Heterosexual (straight)","Slightly underweight","4 to 6 times","2 times per day","Did not eat green salad","3 times per day","Did not drink milk","4 days","0 days","5 or more hours per day","5 or more hours per day","1 team","No","8 hours","Did not drink sports drink","1 time per day","0 times"
