"caseid","V1","V2","V3","V4","V5","V6","V7"
"20160504162025","25","02","Full time","01","570","0","420"
"20160401162455","44","02","No answer","01","480","0","30"
"20161210160583","17","01","No answer","01","690","0","630"
"20160605160534","37","02","Full time","01","440","0","20"
"20160212150581","47","02","Part time","01","540","0","90"
"20161110161737","72","01","No answer","02","690","0","261"
"20161212160714","36","01","Full time","01","605","0","190"
"20160212150841","85","01","No answer","01","555","0","330"
"20161010161557","58","01","No answer","01","600","0","330"
"20160403161382","55","02","Full time","01","540","0","274"
"20160807161053","16","01","No answer","01","710","0","270"
"20160302160938","64","01","Part time","01","570","0","360"
"20160504161983","78","02","No answer","01","450","0","230"
"20160908161347","47","02","Full time","01","325","0","80"
"20161010162323","42","02","Full time","01","410","0","190"
"20160605160650","60","02","Full time","01","722","0","72"
"20160706162095","66","01","No answer","02","540","0","790"
"20160402161332","31","02","Part time","01","540","0","180"
"20160201161008","47","01","Full time","01","440","0","30"
"20160908160085","60","02","No answer","01","590","0","775"
"20160504161969","28","02","Full time","01","660","0","358"
"20160112151183","47","01","Full time","01","480","0","100"
"20160303162222","59","01","No answer","01","575","0","568"
"20161009162365","66","01","No answer","02","630","0","720"
"20160302161517","73","01","No answer","01","360","0","870"
"20160302160713","46","01","Full time","01","550","0","450"
"20161009161429","62","02","Full time","01","480","0","75"
"20161009161472","45","01","Part time","01","330","0","360"
"20160604161087","30","02","Full time","01","401","0","40"
"20160403161912","29","02","Full time","01","540","0","120"
"20160301161705","55","02","Full time","01","625","0","450"
"20160907162368","61","02","Part time","01","520","0","120"
"20161010161050","85","02","No answer","01","480","0","456"
"20160201160545","43","02","No answer","01","475","0","120"
"20160807161099","43","02","Full time","01","570","0","338"
"20161211162228","38","02","Part time","01","285","0","230"
"20160101162355","42","01","Full time","01","540","0","530"
"20160112151257","25","01","Full time","01","450","0","165"
"20160302162483","68","02","No answer","01","680","0","505"
"20161210161817","54","02","Full time","01","700","0","357"
"20160706160683","48","01","Full time","01","465","0","90"
"20160504160586","43","01","Full time","01","570","0","60"
"20160706161235","39","02","Part time","01","485","0","230"
"20160605160637","32","01","Part time","01","540","0","0"
"20160807161445","31","01","Full time","01","350","0","270"
"20160403160752","31","02","No answer","01","650","0","420"
"20161110161327","43","01","Full time","01","455","0","60"
"20160303161974","54","01","No answer","01","698","0","570"
"20160504161256","45","02","Part time","01","760","0","120"
"20160505161392","73","01","Part time","01","638","0","225"
"20160404161295","85","01","No answer","01","411","0","436"
"20160403160931","30","02","No answer","01","330","0","84"
"20160807160909","74","01","Part time","01","480","0","150"
"20160403162127","80","01","No answer","01","537","0","857"
"20160201160634","50","01","Full time","01","765","0","435"
"20160403162199","74","02","Part time","01","490","0","100"
"20160706160748","67","02","No answer","01","574","0","816"
"20160908162252","60","01","No answer","02","150","0","388"
"20160403162234","29","02","No answer","01","715","0","170"
"20160504162123","63","02","Part time","01","440","0","130"
"20160504160699","15","01","No answer","01","660","90","430"
"20160505161530","76","01","No answer","01","630","0","298"
"20160403161210","52","01","Full time","01","285","0","220"
"20161210161257","34","01","Full time","01","600","0","185"
"20160705161184","42","01","No answer","01","555","0","330"
"20160201161133","39","02","Full time","01","480","0","75"
"20160212152438","85","02","No answer","02","510","0","540"
"20160201161529","52","01","Full time","01","405","0","150"
"20160403161028","56","02","Full time","01","460","0","354"
"20160808162125","68","02","No answer","01","570","0","60"
"20160302161982","65","02","No answer","01","540","0","330"
"20160505162262","33","02","Part time","01","495","0","235"
"20160908161996","46","02","Full time","01","540","0","240"
"20161008161194","80","01","No answer","02","450","0","513"
"20160504160617","67","02","No answer","02","540","0","180"
"20160101160066","69","01","No answer","02","600","0","560"
"20161010161182","77","02","No answer","02","715","0","425"
"20160908162071","28","02","No answer","01","540","0","150"
"20161108160961","54","01","Part time","01","570","0","720"
"20161010162113","36","01","Full time","01","450","0","130"
"20160302160961","65","01","Full time","01","415","0","30"
"20161010161583","40","01","Full time","01","465","0","30"
"20161010161171","38","01","No answer","01","730","0","195"
"20160706160770","27","01","Full time","01","515","0","90"
"20160504162522","60","02","Full time","01","780","0","339"
"20161211161262","56","02","Full time","01","570","0","115"
"20160908161755","43","02","Part time","01","450","0","405"
"20160403161261","37","01","Part time","01","510","0","250"
"20160605161517","76","01","No answer","02","295","0","728"
"20160201160904","75","01","No answer","01","570","0","290"
"20160706161414","39","01","Full time","01","640","0","640"
"20160212151409","21","01","Part time","01","750","0","160"
"20160908161601","62","01","Full time","02","660","0","360"
"20160504161571","33","01","Full time","01","840","0","240"
"20161010162276","60","01","Full time","01","510","0","220"
"20160605162528","30","02","Full time","01","600","0","180"
"20160706161481","50","02","Part time","02","600","0","709"
"20160112150719","76","01","No answer","01","741","0","390"
"20160807161351","31","02","No answer","01","480","105","185"
"20161110161960","65","02","No answer","01","570","0","365"
"20160301162508","75","02","Part time","01","450","0","675"
"20160504160065","18","02","No answer","01","705","30","254"
"20160605161338","41","02","No answer","01","570","0","163"
"20161009161328","40","02","Full time","01","600","0","255"
"20161110161209","49","02","Part time","01","600","0","190"
"20160505161000","68","02","No answer","01","465","0","450"
"20160404161164","45","02","Part time","01","655","0","110"
"20160807162507","51","01","Full time","01","450","0","240"
"20160706162274","55","02","Full time","01","331","0","382"
"20160403160645","64","01","Full time","01","435","0","60"
"20161211161114","25","02","Full time","01","505","0","157"
"20161211160563","74","01","No answer","01","450","0","120"
"20161110161568","74","02","Full time","02","600","0","270"
"20161110161157","52","01","Full time","01","450","0","610"
"20160212151584","61","01","Part time","01","510","0","0"
"20160504161468","38","02","No answer","01","510","0","80"
"20160808160661","73","02","No answer","01","435","0","265"
"20160706162035","40","02","Part time","01","660","0","528"
"20160101160915","40","01","Full time","01","865","0","280"
"20160101162303","61","01","No answer","02","600","0","405"
"20161210160827","59","01","Full time","01","480","0","138"
"20160302160662","26","01","Full time","01","470","0","193"
"20160504161963","55","02","Full time","01","568","0","65"
"20160504161454","23","02","Full time","01","750","0","510"
"20160303160089","22","01","No answer","01","575","0","183"
"20160706161769","50","02","Full time","01","530","0","300"
"20160403160998","85","02","No answer","02","450","0","545"
"20160808161715","59","01","Part time","01","494","0","165"
"20160302162127","32","02","No answer","01","535","0","90"
